Source,Target
0,9
0,25
1,10
1,13
1,26
1,29
2,14
2,30
3,11
3,17
3,27
3,33
4,12
4,15
4,18
4,21
4,28
4,31
4,34
4,37
5,16
5,22
5,32
5,38
6,19
6,35
7,20
7,23
7,36
7,39
8,24
8,40
9,41
10,41
11,41
12,41
13,42
14,42
15,42
16,42
17,43
18,43
19,43
20,43
21,44
22,44
23,44
24,44
25,49
26,49
27,49
28,49
29,50
30,50
31,50
32,50
33,51
34,51
35,51
36,51
37,52
38,52
39,52
40,52
41,45
41,46
41,47
41,48
42,45
42,46
42,47
42,48
43,45
43,46
43,47
43,48
44,45
44,46
44,47
44,48
45,57
45,58
45,59
45,60
45,61
45,62
45,63
45,64
45,65
45,66
45,67
45,68
45,69
45,70
45,71
45,72
46,57
46,58
46,59
46,60
46,61
46,62
46,63
46,64
46,65
46,66
46,67
46,68
46,69
46,70
46,71
46,72
47,57
47,58
47,59
47,60
47,61
47,62
47,63
47,64
47,65
47,66
47,67
47,68
47,69
47,70
47,71
47,72
48,57
48,58
48,59
48,60
48,61
48,62
48,63
48,64
48,65
48,66
48,67
48,68
48,69
48,70
48,71
48,72
49,53
49,54
49,55
49,56
50,53
50,54
50,55
50,56
51,53
51,54
51,55
51,56
52,53
52,54
52,55
52,56
53,57
53,58
53,59
53,60
53,61
53,62
53,63
53,64
53,65
53,66
53,67
53,68
53,69
53,70
53,71
53,72
54,57
54,58
54,59
54,60
54,61
54,62
54,63
54,64
54,65
54,66
54,67
54,68
54,69
54,70
54,71
54,72
55,57
55,58
55,59
55,60
55,61
55,62
55,63
55,64
55,65
55,66
55,67
55,68
55,69
55,70
55,71
55,72
56,57
56,58
56,59
56,60
56,61
56,62
56,63
56,64
56,65
56,66
56,67
56,68
56,69
56,70
56,71
56,72
57,73
57,74
57,75
57,76
57,77
57,78
57,79
58,73
58,74
58,75
58,76
58,77
58,78
58,79
59,73
59,74
59,75
59,76
59,77
59,78
59,79
60,73
60,74
60,75
60,76
60,77
60,78
60,79
61,73
61,74
61,75
61,76
61,77
61,78
61,79
62,73
62,74
62,75
62,76
62,77
62,78
62,79
63,73
63,74
63,75
63,76
63,77
63,78
63,79
64,73
64,74
64,75
64,76
64,77
64,78
64,79
65,73
65,74
65,75
65,76
65,77
65,78
65,79
66,73
66,74
66,75
66,76
66,77
66,78
66,79
67,73
67,74
67,75
67,76
67,77
67,78
67,79
68,73
68,74
68,75
68,76
68,77
68,78
68,79
69,73
69,74
69,75
69,76
69,77
69,78
69,79
70,73
70,74
70,75
70,76
70,77
70,78
70,79
71,73
71,74
71,75
71,76
71,77
71,78
71,79
72,73
72,74
72,75
72,76
72,77
72,78
72,79
